Sample Name,Kind,Barcode
4959-DB-1249,CTRL cities,235030389
4959-DB-1250,CTRL cities,235030394
4959-DB-1251,CTRL cities,235030857
4959-DB-1252,CTRL cities,235030381
4959-DB-1253,CTRL cities,235030399
4959-DB-1254,Dry tube,235159589
4959-DB-1255,Dry tube & swab,235163072
4959-DB-1256,Tube & RNA/DNA out,235196487
4959-DB-1257,Tube & RNA/DNA out & swab,235196528
,,No Read
,,No Read
,,No Read
4959-DB-1258,CTRL cities,235030342
4959-DB-1259,CTRL cities,232022192
4959-DB-1260,CTRL cities,235030871
4959-DB-1261,CTRL cities,235030377
4959-DB-1262,CTRL cities,235030410
4959-DB-1263,Dry tube,235162224
4959-DB-1264,Dry tube & swab,235161887
4959-DB-1265,Tube & RNA/DNA out,232022683
4959-DB-1266,Tube & RNA/DNA out & swab,232021956
,,No Read
,,No Read
,,No Read
4959-DB-1267,CTRL cities,235030337
4959-DB-1268,CTRL cities,235030406
4959-DB-1269,CTRL cities,235030885
4959-DB-1270,CTRL cities,235030369
4959-DB-1271,CTRL cities,235030376
4959-DB-1272,Dry tube,235163966
4959-DB-1273,Dry tube & swab,235162222
4959-DB-1274,Tube & RNA/DNA out,235078676
4959-DB-1275,Tube & RNA/DNA out & swab,232021998
,,No Read
,,No Read
,,No Read
4959-DB-1276,CTRL cities,235030419
4959-DB-1277,CTRL cities,235030388
4959-DB-1278,CTRL cities,235030362
4959-DB-1279,CTRL cities,235030379
4959-DB-1280,CTRL cities,235030370
4959-DB-1281,PosZymo,235082297
4959-DB-1282,H1,No Read
4959-DB-1283,H2,No Read
4959-DB-1284,H3,No Read
,,No Read
,,No Read
,,No Read
4959-DB-1285,CTRL cities,235030405
4959-DB-1286,CTRL cities,235030400
4959-DB-1287,CTRL cities,235030380
4959-DB-1288,CTRL cities,235029400
4959-DB-1289,CTRL cities,235030378
4959-DB-1290,H4,No Read
4959-DB-1291,H5,No Read
4959-DB-1292,H7,No Read
4959-DB-1293,H1 Choco,No Read
,,No Read
,,No Read
,,No Read
4959-DB-1294,CTRL cities,235030416
4959-DB-1295,CTRL cities,235030393
4959-DB-1296,CTRL cities,235030355
4959-DB-1297,CTRL cities,235030357
4959-DB-1298,CTRL cities,235030358
4959-DB-1299,H1 Blood,No Read
4959-DB-1300,H2 Choco,No Read
4959-DB-1301,H2 Blood,No Read
4959-DB-1302,H3 Choco,No Read
,,No Read
,,No Read
,,No Read
4959-DB-1303,CTRL cities,235030408
4959-DB-1304,CTRL cities,235030417
4959-DB-1305,CTRL cities,235030366
4959-DB-1306,CTRL cities,235030361
4959-DB-1307,CTRL cities,235030328
4959-DB-1308,H3 Blood,No Read
4959-DB-1309,H4 Blood,No Read
4959-DB-1310,H5 Choco,No Read
4959-DB-1311,H5 Blood,No Read
,,No Read
,,No Read
,,No Read
4959-DB-1312,CTRL cities,235030390
4959-DB-1313,CTRL cities,235030411
4959-DB-1314,CTRL cities,235030412
4959-DB-1315,CTRL cities,235030392
4959-DB-1316,CTRL cities,235030340
4959-DB-1317,H7 Choco,No Read
4959-DB-1318,H7 Blood,No Read
,,No Read
,,No Read
,,No Read
,,No Read
,,No Read