Sample Number,Site,Surface,Collector,Date of Collection,Notes,
W0001,,,,,,
W0002,,,,,,
W0003,,,,,,
W0004,,,,,,
W0005,,,,,,
W0006,,,,,,
W0007,,,,,,
W0008,,,,,,
W0009,,,,,,
W0010,,,,,,
W0011,"4,5,6-Brooklyn Bridge City Hall",,,,,
W0012,"4,5,6-Brooklyn Bridge City Hall",,,,,
W0013,"4,5-Wall Street",,,,,
W0014,"4,5-Wall Street",,,,,
W0015,"2,3,4,5- Borough Hall",,,,,
W0016,"2,3,4,5- Borough Hall",,,,,
W0017,"2,3,4,5-Nevins Street",,,,,
W0018,"2,3,4,5-Nevins Street",,,,,
W0019,"2,3-Bergen Street",,,,,
W0020,"2,3-Bergen Street",,,,,
W0021,"2,3-Eastern Parkway ",,,,,
W0022,"2,3-Eastern Parkway ",,,,,
W0023,"2,5- President Street",,,,,
W0024,"2,5- President Street",,,,,
W0025,"2,5-Winthrop Avenue",,,,,
W0026,"2,5-Winthrop Avenue",,,,,
W0027,"2,5-Beverly Road",,,,,
W0028,"2,5-Beverly Road",,,,,
W0029,"2,5- Flatbush Ave Brooklyn College",,,,,
W0030,"2,5- Flatbush Ave Brooklyn College",,,,,
W0031,On 2 or 5 train,,,,,
W0032,On 2 or 5 train,,,,,
W0033,On 2 or 5 train,,,,,
W0034,On 2 or 5 train,,,,,
W0035,On 2 or 5 train,,,,,
W0036,On 2 or 5 train,,,,,
W0037,On 2 or 5 train,,,,,
W0038,On 2 or 5 train,,,,,
W0039,On 2 or 5 train,,,,,
W0040,On 2 or 5 train,,,,,
W0041,N-28th Street,,,,,
W0042,N-28th Street,,,,,
W0043,N-14st Union Square,,,,,
W0044,N-14st Union Square,,,,,
W0045,"N,Q,R-Canal Street",,,,,
W0046,"N,Q,R-Canal Street",,,,,
W0047,"D,N,R,LIRR Atlantic Avenue",,,,,
W0048,"D,N,R,LIRR Atlantic Avenue",,,,,
W0049,R-4-Av 9th Street,,,,,
W0050,R-4-Av 9th Street,,,,,
W0051,R-25 Street,,,,,
W0052,R-25 Street,,,,,
W0053,R-45 Street,,,,,
W0054,R-45 Street,,,,,
W0055,"N,R-59th Street",,,,,
W0056,"N,R-59th Street",,,,,
W0057,R-77th Street,,,,,
W0058,R-77th Street,,,,,
W0059,R-Bay Ridge 95 St,,,,,
W0060,R-Bay Ridge 95 St,,,,,
W0061,In N train,,,,,
W0062,In N train,,,,,
W0063,In N train,,,,,
W0064,In N train,,,,,
W0065,In R train ,,,,,
W0066,In R train ,,,,,
W0067,In R train ,,,,,
W0068,In R train ,,,,,
W0069,In R train ,,,,,
W0070,In R train ,,,,,
W0071,Q-Dekalb Avenue,Other,,,,
W0072,Q-Dekalb Avenue,Turnstile,,,,
W0073,"B,Q,S- Prospect Park",Stairwell Railing,,,,
W0074,"B,Q,S- Prospect Park",Wooden Bench,,,,
W0075,"B,Q-Church Ave",Turnstile,,,,
W0076,"B,Q-Church Ave",Other,,,,
W0077,Q-Cortelyou Road,Other,,,,
W0078,Q-Cortelyou Road,Turnstile,,,,
W0079,Q-Avenue H,Wooden Bench,,,,
W0080,Q-Avenue H,Other,,,,
W0081,Q-Avenue M,Wooden BenchDoors,,,,
W0082,Q-Avenue M,Stairwell Railing,,,,
W0083,Q-Avenue U,Stairwell Railing,,,,
W0084,Q-Avenue U,Other,,,,
W0085,"B,Q-Sheepshead Bay",Wooden Bench,,,,
W0086,"B,Q-Sheepshead Bay",Other,,,,
W0087,Q-Ocean Parkway,Other,,,,
W0088,Q-Ocean Parkway,Stairwell Railing,,,,
W0089,"D,N,F,Q Coney Island Stillwell Av",Other,,,,
W0090,"D,N,F,Q Coney Island Stillwell Av",Wooden Bench,,,,
W0091,In Q train,Seat near door,,,,
W0092,In Q train,Seat Rail,,,,
W0093,In Q train,Doors,,,,
W0094,In Q train,Pole,,,,
W0095,In Q train,Center seat,,,,
W0096,In Q train,Seat near door,,,,
W0097,In Q train,Doors,,,,
W0098,In Q train,Ceiling Rail,,,,
W0099,In Q train,Ceiling Rail,,,,
W0100,In Q train,Pole,,,,
W0101,1-Houston Street,Pole,,,,
W0102,1-Houston Street,Pole,,,,
W0103,1-Franklin Street,Pole,,,,
W0104,1-Franklin Street,Pole,,,,
W0105,"1,2,3- Chambers Street",Pole,,,,
W0106,"1,2,3- Chambers Street",Pole,,,,
W0107,"2,3,4,5 Fulton Street",Pole,,,,
W0108,"2,3,4,5 Fulton Street",Pole,,,,
W0109,"2,3-Clark Street",Pole,,,,
W0110,"2,3-Clark Street",Pole,,,,
W0111,3- Kingston Avenue,Pole,,,,
W0112,3- Kingston Avenue,Pole,,,,
W0113,3- Sutter Av-Rutland Rd,Pole,,,,
W0114,3- Sutter Av-Rutland Rd,Pole,,,,
W0115,3-Rockaway Avenue,Pole,,,,
W0116,3-Rockaway Avenue,Pole,,,,
W0117,3-Pennsylvania Av,Pole,,,,
W0118,3-Pennsylvania Av,Pole,,,,
W0119,3-New Lots Avenue,Pole,,,,
W0120,3-New Lots Avenue,Pole,,,,
W0121,1 train sample,Pole,,,,
W0122,1 train sample,Pole,,,,
W0123,2 or 3 train sample,Pole,,,,
W0124,2 or 3 train sample,Pole,,,,
W0125,2 or 3 train sample,Pole,,,,
W0126,2 or 3 train sample,Pole,,,,
W0127,2 or 3 train sample,Pole,,,,
W0128,2 or 3 train sample,Pole,,,,
W0129,2 or 3 train sample,Pole,,,,
W0130,2 or 3 train sample,Pole,,,,
W0131,G-Court Square,Pole,,,,
W0132,G-Court Square,Pole,,,,
W0133,G-Greenpoint Avenue,Pole,,,,
W0134,G-Greenpoint Avenue,Pole,,,,
W0135,G-Broadway,Pole,,,,
W0136,G-Broadway,Pole,,,,
W0137,G-Myrtle Willoughby Avs,Pole,,,,
W0138,G-Myrtle Willoughby Avs,Pole,,,,
W0139,G-Classon Avenue,Pole,,,,
W0140,G-Classon Avenue,Pole,,,,
W0141,G-Fulton Street,Pole,,,,
W0142,G-Fulton Street,Pole,,,,
W0143,G-Bergen Street,Pole,,,,
W0144,G-Bergen Street,Pole,,,,
W0145,G-Smith 9 Strs,Pole,,,,
W0146,G-Smith 9 Strs,Pole,,,,
W0147,G-7th Ave,Pole,,,,
W0148,G-7th Ave,Pole,,,,
W0149,G-Fort Hamilton Parkway,Pole,,,,
W0150,G-Fort Hamilton Parkway,Pole,,,,
W0151,In G train,Pole,,,,
W0152,In G train,Pole,,,,
W0153,In G train,Pole,,,,
W0154,In G train,Pole,,,,
W0155,In G train,Pole,,,,
W0156,In G train,Pole,,,,
W0157,In G train,Pole,,,,
W0158,In G train,Pole,,,,
W0159,In G train,Pole,,,,
W0160,In G train,Pole,,,,
W0161,M - Middle Village/Metropolitan Ave,Kiosk,,,,
W0162,M - Middle Village/Metripolitan Ave,Turnstile,,,,
W0163,M - Forest Ave ,Other,,,,
W0164,M - Forest Ave,Steel Bench,,,,
W0165,L/M - Myrtle Wycoffe Aves ,Other,,,,
W0166,L/M - Myrtle Wycoffe Aves ,Other,,,,
W0167,M - Central Ave,Stairwell Railing,,,,
W0168,M - Central Ave ,Steel Bench,,,,
W0169,M/J - Flushing Ave ,Stairwell Railing,,,,
W0170,M/J - Flushing Ave ,Wooden Bench,,,,
W0171,M/J - Hewes St,Kiosk,,,,
W0172,M/J - Hewes St,Turnstile,,,,
W0173,M/J/F/Z - Essex St,Other,,,,
W0174,M/J/F/Z - Essex St,Wooden Bench,,,,
W0175,M - West 4 St ,Kiosk,,,,
W0176,M - West 4 St ,Kiosk,,,,
W0177,M - 23 St ,Turnstile,,,,
W0178,M - 23 St ,Wooden Bench,,,,
W0179,M - 42 St/Bryant Park ,Wooden Bench,,,,
W0180,M - 42 St/Bryant Park ,Stairwell Railing,,,,
W0181,M Train ,Pole,,,,
W0182,M Train ,Doors,,,,
W0183,M Train ,Center seat,,,,
W0184,M Train ,Pole,,,,
W0185,M Train ,Doors,,,,
W0186,M Train ,Pole,,,,
W0187,M Train ,Doors,,,,
W0188,M Train ,Pole,,,,
W0189,M Train ,Doors,,,,
W0190,M Train ,Pole,,,,
W0191,E/J/Z - Jamaica Center Parsons/Archer,Pole,,,,
W0192,E/J/Z - Jamaica Center Parsons/Archer,Pole,,,,
W0193,J/Z - 121 St,Wooden Bench,,,,
W0194,J/Z - 121 St,Other,,,,
W0195,J/Z - 104 St,Other,,,,
W0196,J/Z - 104 St,Other,,,,
W0197,J/Z - Woodhaven Blvd,Other,,,,
W0198,J/Z - Woodhaven Blvd,Other,,,,
W0199,J/Z - 75 St/Elderts Ln ,Other,,,,
W0200,J/Z - 75 St/Elderts Ln ,Other,,,,
W0201,J/Z - Crescent St ,Other,,,,
W0202,J/Z - Crescent St ,Other,,,,
W0203,J/Z - Cleveland St ,Other,,,,
W0204,J/Z - Cleveland St ,Other,,,,
W0205,J/Z - Alabama Ave,Other,,,,
W0206,J/Z - Alabama Ave,Other,,,,
W0207,J/Z - Halsley St ,Other,,,,
W0208,J/Z - Halsley St ,Other,,,,
W0209,J/M/Z - Myrtle Ave ,Other,,,,
W0210,J/M/Z - Myrtle Ave ,Other,,,,
W0211,J/Z Train,Other,,,,
W0212,J/Z Train,Center seat,,,,
W0213,J/Z Train,Center seat,,,,
W0214,J/Z Train,Center seat,,,,
W0215,J/Z Train,Center seat,,,,
W0216,J/Z Train,Center seat,,,,
W0217,J/Z Train,Center seat,,,,
W0218,J/Z Train,Center seat,,,,
W0219,J/Z Train,Center seat,,,,
W0220,J/Z Train,Center seat,,,,
W0221,L - Canarsie Rockaway Pkwy,Turnstile,,,,
W0222,L - Canarsie Rockaway Pkwy,Kiosk,,,,
W0223,L - New Lots Ave,Stairwell Railing,,,,
W0224,L - New Lots Ave,Turnstile,,,,
W0225,L - Sutter Ave,Stairwell Railing,,,,
W0226,L - Sutter Ave,Wooden Bench,,,,
W0227,L/J/Z - Broadway Junction,Wooden Bench,,,,
W0228,L/J/Z - Broadway Junction,Stairwell Railing,,,,
W0229,L - Wilson Ave,Other,,,,
W0230,L - Wilson Ave,Stairwell Railing,,,,
W0231,L - DeKalb ave,,,,,
W0232,L - DeKalb ave,Turnstile,,,,
W0233,L - Morgan Ave,Wooden Bench,,,,
W0234,L - Morgan Ave,Kiosk,,,,
W0235,L - Grand St ,Wooden Bench,,,,
W0236,L - Grand St ,Stairwell Railing,,,,
W0237,L - Lorimer St ,Stairwell Railing,,,,
W0238,L - Lorimer St ,Turnstile,,,,
W0239,L - Bedford Ave,Wooden Bench,,,,
W0240,L - Bedford Ave ,Turnstile,,,,
W0241,L Train ,Pole,,,,
W0242,L Train ,Seat Rail,,,,
W0243,L Train ,Ceiling Rail,,,,
W0244,L Train ,Seat near door,,,,
W0245,L Train ,Center seat,,,,
W0246,L Train ,Doors,,,,
W0247,L Train ,Ceiling Rail,,,,
W0248,L Train ,Pole,,,,
W0249,L Train ,Doors,,,,
W0250,L Train ,Doors,,,,
W0251,A/C - High St,Other,,,,
W0252,A/C - High St,Wooden Bench,,,,
W0253,A/C - Jay St Metrotech,Other,,,,
W0254,A/C - Jay St Metrotech,Stairwell Railing,,,,
W0255,A/C - Lafayette Ave,Turnstile,,,,
W0256,A/C - Lafayette Ave,Other,,,,
W0257,A/C - Nostrand Ave ,Wooden Bench,,,,
W0258,A/C - Nostrand Ave ,Other,,,,
W0259,A/C - Utica Ave,Stairwell Railing,,,,
W0260,A/C - Utica Ave,Other,,,,
W0261,A/C - Rocaway Ave,Other,,,,
W0262,A/C - Rocaway Ave,Stairwell Railing,,,,
W0263,A/C - Liberty Ave,Other,,,,
W0264,A/C - Liberty Ave ,Wooden Bench,,,,
W0265,A/C - Euclid Ave,Other,,,,
W0266,A/C - Euclid Ave,Other,,,,
W0267,A - 88St ,Stairwell Railing,,,,
W0268,A - 88 St ,Kiosk,,,,
W0269,A - Ozone Park/Lefferts Blvd,Kiosk,,,,
W0270,A - Ozone Park/Lefferts Blvd,Wooden Bench,,,,
W0271,A/C Train,Seat Rail,,,,
W0272,A/C Train,Seat near door,,,,
W0273,A/C Train,Pole,,,,
W0274,A/C Train,,,,,
W0275,A/C Train,Center seat,,,,
W0276,A/C Train,Pole,,,,
W0277,A/C Train,,,,,
W0278,A/C Train,Doors,,,,
W0279,A/C Train,Seat Rail,,,,
W0280,A/C Train,,,,,
W0281,F Line - Ditmas Ave ,Wooden Bench,,,,
W0282,F Line - Ditmas Ave ,Stairwell Railing,,,,
W0283,F Line - Avenue I,Other,,,,
W0284,F Line - Avenue I,Turnstile,,,,
W0285,F Line - Avenue N,Stairwell Railing,,,,
W0286,F Line - Avenue N,Kiosk,,,,
W0287,F Line - Kings Hwy,Wooden Bench,,,,
W0288,F Line - Kings Hwy,Other,,,,
W0289,F Line - Avenue X,Turnstile,,,,
W0290,F Line - Avenue X,Other,,,,
W0291,F/Q Line - West 8 St NY Aquarium  ,Wooden Bench,,,,
W0292,F/Q Line - West 8 St NY Aquarium  ,Kiosk,,,,
W0293,N Line - 86 St,Stairwell Railing,,,,
W0294,N Line - 86 St,Turnstile,,,,
W0295,N Line - Kings HWY,Wooden Bench,,,,
W0296,N Line - Kings HWY,Other,,,,
W0297,N Line - 20 Ave,Stairwell Railing,,,,
W0298,N Line - 20 Ave,Wooden Bench,,,,
W0299,N Line - New Utrecht Ave,Other,,,,
W0300,N Line - New Utrecht Ave,Stairwell Railing,,,,
W0301,F Train,Seat Rail,,,,
W0302,F Train,Seat near door,,,,
W0303,F Train ,Doors,,,,
W0304,F Train ,Pole,,,,
W0305,F Train ,Ceiling Rail,,,,
W0306,N Train,Doors,,,,
W0307,N Train,Seat Rail,,,,
W0308,N Train ,Seat near door,,,,
W0309,N Train,Center seat,,,,
W0310,N Train ,Ceiling Rail,,,,
W0311,D/N/R - 36 St,Wooden Bench,,,,
W0312,D/N/R - 36 St,Stairwell Railing,,,,
W0313,D Line - Fort Hamilton,Kiosk,,,,
W0314,D Line - Fort Hamilton,Turnstile,,,,
W0315,D Line - 55 St,Other,,,,
W0316,D Line - 55 St,Wooden Bench,,,,
W0317,D Line - 62 St,Turnstile,,,,
W0318,D Line - 62 St,Other,,,,
W0319,D Line - 79 St,Other,,,,
W0320,D Line - 79 St,Stairwell Railing,,,,
W0321,D Line  - 20 Ave,Wooden Bench,,,,
W0322,D Line  - 20 Ave,Stairwell Railing,,,,
W0323,D Line - 25 Ave,Kiosk,,,,
W0324,D Line - 25 Ave,Turnstile,,,,
W0325,D Line - Bay 50 St ,Turnstile,,,,
W0326,D Line - Bay 50 St ,Other,,,,
W0327,N Line - Avenue U ,Wooden Bench,,,,
W0328,N Line - Avenue U ,Stairwell Railing,,,,
W0329,N Line - 8 Ave,Stairwell Railing,,,,
W0330,N Line - 8 Ave,Kiosk,,,,
W0331,D Train,Doors,,,,
W0332,D Train,Center seat,,,,
W0333,D Train,Doors,,,,
W0334,D Train,Center seat,,,,
W0335,D Train,Pole,,,,
W0336,N Train,Ceiling Rail,,,,
W0337,N Train,Ceiling Rail,,,,
W0338,N Train,Doors,,,,
W0339,N Train,Center seat,,,,
W0340,N Train,Seat Rail,,,,
W0341,7 Line - Flushing Main St,Other,,,,
W0342,7 Line - Flushing Main St,Kiosk,,,,
W0343,7 Line - Mets Willets Point,Stairwell Railing,,,,
W0344,7 Line - Mets Willets Point,Turnstile,,,,
W0345,7 Line - Junction Blvd,Other,,,,
W0346,7 Line - Junction Blvd,Other,,,,
W0347,7 Line - Roosevelt Ave,Other,,,,
W0348,7 Line - Roosevelt Ave,Other,,,,
W0349,7 Line - 61 St Woodside,Kiosk,,,,
W0350,7 Line - 61 St Woodside,Steel Bench,,,,
W0351,7 Line - 46 St Bliss St,Wooden Bench,,,,
W0352,7 Line - 46 St Bliss St,Stairwell Railing,,,,
W0353,7 Line - 33 St ,Kiosk,,,,
W0354,7 Line - 33 St ,Other,,,,
W0355,7 Line - Queensboro Plaza,Wooden Bench,,,,
W0356,7 Line - Queensboro Plaza,Other,,,,
W0357,7 Line - Court Square,Stairwell Railing,,,,
W0358,7 Line - Court Square,Other,,,,
W0359,7 Line - Vernon Blvd Jackson,Kiosk,,,,
W0360,7 Line - Vernon Blvd Jackson,Wooden Bench,,,,
W0361,7 Train,Center seat,,,,
W0362,7 Train,Doors,,,,
W0363,7 Train,Pole,,,,
W0364,7 Train,Seat near door,,,,
W0365,7 Train,Doors,,,,
W0366,7 Train,Seat near door,,,,
W0367,7 Train,Ceiling Rail,,,,
W0368,7 Train,Pole,,,,
W0369,7 Train,Center seat,,,,
W0370,7 Train,Doors,,,,
W0371,E/J/Z - Sutphin Blvd,Steel Bench,,,,
W0372,E/J/Z - Sutphin Blvd,Other,,,,
W0373,E/F Line - Briarwood Van Wyck Blvd,Wooden Bench,,,,
W0374,E/F Line - Briarwood Van Wyck Blvd,Stairwell Railing,,,,
W0375,F Line - Parsons Blvd,Stairwell Railing,,,,
W0376,F Line - Parsons Blvd,Wooden Bench,,,,
W0377,F Line - Jamaica 179 St,Stairwell Railing,,,,
W0378,F Line - Jamaica 179 St,Other,,,,
W0379,E/F Line - Kew Gardens Uniont Tpke,Stairwell Railing,,,,
W0380,E/F Line - Kew Gardens Uniont Tpke,Wooden Bench,,,,
W0381,E/F Line - Forest Hills 71st Ave,Wooden Bench,,,,
W0382,E/F Line - Forest Hills 71st Ave,Stairwell Railing,,,,
W0383,E/F/M/R - Jackson Hts Roosevelt Ave,Stairwell Railing,,,,
W0384,E/F/M/R - Jackson Hts Roosevelt Ave,Wooden Bench,,,,
W0385,E/M/R - Queens Plaza,Turnstile,,,,
W0386,E/M/R - Queens Plaza,Kiosk,,,,
W0387,E/M - Lexington Ave,Wooden Bench,,,,
W0388,E/M - Lexington Ave,Stairwell Railing,,,,
W0389,E/B/D - 7 ave,Wooden Bench,,,,
W0390,E/B/D - 7 ave,Other,,,,
W0391,E Train,Doors,,,,
W0392,E Train,Pole,,,,
W0393,E Train ,Seat near door,,,,
W0394,E Train,Seat Rail,,,,
W0395,E Train ,Ceiling Rail,,,,
W0396,F Train,Pole,,,,
W0397,F Train,Doors,,,,
W0398,F Train,Seat near door,,,,
W0399,F Train,Seat Rail,,,,
W0400,F Train,Ceiling Rail,,,,
W0401,M/R Line - 67 Ave,Kiosk,,,,
W0402,M/R Line - 67 Ave,Kiosk,,,,
W0403,M/R Line - Woodhaven Blvd ,Stairwell Railing,,,,
W0404,M/R Line - Woodhaven Blvd ,Turnstile,,,,
W0405,M/R Line - Elmhurst Ave,Wooden Bench,,,,
W0406,M/R Line - Elmhurst Ave,Stairwell Railing,,,,
W0407,M/R Line - 65 St,Stairwell Railing,,,,
W0408,M/R Line - 65 St,Turnstile,,,,
W0409,M/R Line - 46 St,Turnstile,,,,
W0410,M/R Line - 46 St,Other,,,,
W0411,M/R Line - 36 St,Kiosk,,,,
W0412,M/R Line - 36 St,Turnstile,,,,
W0413,N/Q Line - 39 Ave,Stairwell Railing,,,,
W0414,N/Q Line - 39 Ave,Wooden Bench,,,,
W0415,N/Q Line - Broadway,Wooden Bench,,,,
W0416,N/Q Line - Broadway,Stairwell Railing,,,,
W0417,N/Q Line - Astoria Blvd,Other,,,,
W0418,N/Q Line - Astoria Blvd,Other,,,,
W0419,N/Q Line - Astoria Ditmars Blvd,Stairwell Railing,,,,
W0420,N/Q Line - Astoria Ditmars Blvd,Wooden Bench,,,,
W0421,M Train,Pole,,,,
W0422,M Train,Seat near door,,,,
W0423,M Train,Seat Rail,,,,
W0424,R Train,Seat Rail,,,,
W0425,R Train,Seat near door,,,,
W0426,R Train,Pole,,,,
W0427,N Train,Doors,,,,
W0428,N Train,Pole,,,,
W0429,Q Train ,Doors,,,,
W0430,Q Train,Ceiling Rail,,,,
W0431,"4,5- Bowling Green",Other,,,,
W0432,"4,5- Bowling Green",Other,,,,
W0433,6 - Spring St,Turnstile,,,,
W0434,6 - Spring St,Other,,,,
W0435,6 - Astor Place,Stairwell Railing,,,,
W0436,6 - Astor Place,Wooden Bench,,,,
W0437,6 - 23 St,Other,,,,
W0438,6 - 23 St,Kiosk,,,,
W0439,6 - Grand Central,Other,,,,
W0440,6 - Grand Central,Stairwell Railing,,,,
W0441,6 - 59 St,Other,,,,
W0442,6 - 59 St,Other,,,,
W0443,6 - 77 St,Other,,,,
W0444,6 - 77 St,Wooden Bench,,,,
W0445,6 - 96 St,Turnstile,,,,
W0446,6 - 96 St,Stairwell Railing,,,,
W0447,6 - 110 St,Kiosk,,,,
W0448,6 - 110 St,Other,,,,
W0449,6 - 125 St,Other,,,,
W0450,6 - 125 St,Turnstile,,,,
W0451,4/5/6 Train,Pole,,,,
W0452,4/5/6 Train,Seat Rail,,,,
W0453,4/5/6 Train,Doors,,,,
W0454,4/5/6 Train,Ceiling Rail,,,,
W0455,4/5/6 Train,Seat near door,,,,
W0456,4/5/6 Train,Pole,,,,
W0457,4/5/6 Train,Doors,,,,
W0458,4/5/6 Train,Center seat,,,,
W0459,4/5/6 Train,Ceiling Rail,,,,
W0460,4/5/6 Train,,,,,
W0461,1/2/3 - Chambers St,Stairwell Railing,,,,
W0462,1/2/3 - Chambers St,Turnstile,,,,
W0463,1 - Canal St,Kiosk,,,,
W0464,1 - Canal St,Turnstile,,,,
W0465,1 - Christopher St ,Wooden Bench,,,,
W0466,1 - Christopher St ,Kiosk,,,,
