ID_city,ID_country
Auckland,New_Zealand
Baltimore,USA
Belfast,UK
Berlin,Germany
Birmingham,UK
Bogota,Colombia
Bradford,UK
Brisbane,Australia
Brisbane,UK
Bristol,UK
Bury,UK
Cairngorm,UK
Denver,USA
Doha,Qatar
Eastbourne,UK
Eden,UK
Edinborough,UK
Fairbanks,USA
Fukuoka,Japan
Germany,Berlin
Glenview,USA
Hamilton,New_Zealand
Hanoi,Vietnam
Hong_Kong,China
Honolulu,USA
Ilorin,Nigeria
Islington,UK
Jaywick,UK
Kensington,UK
Kuala_Lumpur,Malaysia
Kyiv,Ukraine
Kyiv,Ukraine
Lands_End,UK
Lima,Peru
Lisbon,Portugal
London,UK
Marseille,France
Mexico_City,Mexico
Minneapolis,USA
Montevideo,Uruguay
Naples,Italy
New_York_City,USA
Newcastle,UK
Obihiro,Japan
Ofa,Nigeria
Oslo,Norway
Paris,France
Portugal,Porto
Ribeirao_Preto,Brazil
Rio_De_Janeiro,Brazil
Sacramento,USA
San_Francisco,USA
Santiago,Chile
Sao_Paulo,Brazil
Sendai,Japan
Seoul,Korea
Seoul,South_Korea
Shanghai,China
Singapore,Singapore
Sofia,Bulgaria
St_Louis,USA
Stockholm,Sweden
Swansea,UK
Taipei,Taiwan
Tokyo,Japan
Tsuruoka,Japan
Vienna,Austria
Yamaguchi,Japan
Zurich,Switzerland
unknown,unknown