sample_id,CSD_ID_Corrected,barcode,Yield,Date Collected,Username,Country,State,CityCode,City,Location_Type,location,line,Average_Ridership (2016),Latitude,Longitude,Object Swabbed,surface_material,Temperature ℃,Duplicate,UUID,,
HKMTR1001AM,CSD16-HON-HKMTR1001AM,N/A,N/A,N/A,N/A,China,N/A,HKG,Hong Kong,Indoor Line,Island,MTR,N/A,N/A,N/A,N/A,Air,N/A,,,,
HKMTR1001PM,CSD16-HON-HKMTR1001PM,N/A,N/A,N/A,N/A,China,N/A,HKG,Hong Kong,Indoor Line,Island,MTR,N/A,N/A,N/A,N/A,Air,N/A,,,,
HKMTR1002AM,CSD16-HON-HKMTR1002AM,N/A,N/A,N/A,N/A,China,N/A,HKG,Hong Kong,Indoor Line,Tsuen Wan,MTR,N/A,N/A,N/A,N/A,Air,N/A,,,,
HKMTR1002PM,CSD16-HON-HKMTR1002PM,N/A,N/A,N/A,N/A,China,N/A,HKG,Hong Kong,Indoor Line,Tsuen Wan,MTR,N/A,N/A,N/A,N/A,Air,N/A,,,,
HKMTR1003AM,CSD16-HON-HKMTR1003AM,N/A,N/A,N/A,N/A,China,N/A,HKG,Hong Kong,Indoor Line,Kwun Tong,MTR,N/A,N/A,N/A,N/A,Air,N/A,,,,
HKMTR1003PM,CSD16-HON-HKMTR1003PM,N/A,N/A,N/A,N/A,China,N/A,HKG,Hong Kong,Indoor Line,Kwun Tong,MTR,N/A,N/A,N/A,N/A,Air,N/A,,,,
HKMTR1004AM,CSD16-HON-HKMTR1004AM,N/A,N/A,N/A,N/A,China,N/A,HKG,Hong Kong,Outdoor Line,East Rail,MTR,N/A,N/A,N/A,N/A,Air,N/A,,,,
HKMTR1004PM,CSD16-HON-HKMTR1004PM,N/A,N/A,N/A,N/A,China,N/A,HKG,Hong Kong,Outdoor Line,East Rail,MTR,N/A,N/A,N/A,N/A,Air,N/A,,,,
HKMTR1005AM,CSD16-HON-HKMTR1005AM,N/A,N/A,N/A,N/A,China,N/A,HKG,Hong Kong,Outdoor Line,West Rail,MTR,N/A,N/A,N/A,N/A,Air,N/A,,,,
HKMTR1005PM,CSD16-HON-HKMTR1005PM,N/A,N/A,N/A,N/A,China,N/A,HKG,Hong Kong,Outdoor Line,West Rail,MTR,N/A,N/A,N/A,N/A,Air,N/A,,,,
HKMTR1006AM,CSD16-HON-HKMTR1006AM,N/A,N/A,N/A,N/A,China,N/A,HKG,Hong Kong,Indoor Line,Tseung Kwan O,MTR,N/A,N/A,N/A,N/A,Air,N/A,,,,
HKMTR1006PM,CSD16-HON-HKMTR1006PM,N/A,N/A,N/A,N/A,China,N/A,HKG,Hong Kong,Indoor Line,Tseung Kwan O,MTR,N/A,N/A,N/A,N/A,Air,N/A,,,,
HKMTR1007AM,CSD16-HON-HKMTR1007AM,N/A,N/A,N/A,N/A,China,N/A,HKG,Hong Kong,Outdoor Line,Ma On Shan,MTR,N/A,N/A,N/A,N/A,Air,N/A,,,,
HKMTR1007PM,CSD16-HON-HKMTR1007PM,N/A,N/A,N/A,N/A,China,N/A,HKG,Hong Kong,Outdoor Line,Ma On Shan,MTR,N/A,N/A,N/A,N/A,Air,N/A,,,,
HKMTR2001PK,CSD16-HON-HKMTR2001PK,N/A,N/A,N/A,N/A,China,N/A,HKG,Hong Kong,Indoor Line,Island,MTR,N/A,N/A,N/A,N/A,Air,N/A,,,,
HKMTR2001NPK,CSD16-HON-HKMTR2001NPK,N/A,N/A,N/A,N/A,China,N/A,HKG,Hong Kong,Indoor Line,Island,MTR,N/A,N/A,N/A,N/A,Air,N/A,,,,
HKMTR2002PK,CSD16-HON-HKMTR2002PK,N/A,N/A,N/A,N/A,China,N/A,HKG,Hong Kong,Indoor Line,Tsuen Wan,MTR,N/A,N/A,N/A,N/A,Air,N/A,,,,
HKMTR2002NPK,CSD16-HON-HKMTR2002NPK,N/A,N/A,N/A,N/A,China,N/A,HKG,Hong Kong,Indoor Line,Tsuen Wan,MTR,N/A,N/A,N/A,N/A,Air,N/A,,,,
HKMTR2003PK,CSD16-HON-HKMTR2003PK,N/A,N/A,N/A,N/A,China,N/A,HKG,Hong Kong,Indoor Line,Kwun Tong,MTR,N/A,N/A,N/A,N/A,Air,N/A,,,,
HKMTR2003NPK,CSD16-HON-HKMTR2003NPK,N/A,N/A,N/A,N/A,China,N/A,HKG,Hong Kong,Indoor Line,Kwun Tong,MTR,N/A,N/A,N/A,N/A,Air,N/A,,,,
HKMTR2004PK,CSD16-HON-HKMTR2004PK,N/A,N/A,N/A,N/A,China,N/A,HKG,Hong Kong,Outdoor Line,East Rail,MTR,N/A,N/A,N/A,N/A,Air,N/A,,,,
HKMTR2004NPK,CSD16-HON-HKMTR2004NPK,N/A,N/A,N/A,N/A,China,N/A,HKG,Hong Kong,Outdoor Line,East Rail,MTR,N/A,N/A,N/A,N/A,Air,N/A,,,,
HKMTR2005PK,CSD16-HON-HKMTR2005PK,N/A,N/A,N/A,N/A,China,N/A,HKG,Hong Kong,Outdoor Line,West Rail,MTR,N/A,N/A,N/A,N/A,Air,N/A,,,,
HKMTR2005NPK,CSD16-HON-HKMTR2005NPK,N/A,N/A,N/A,N/A,China,N/A,HKG,Hong Kong,Outdoor Line,West Rail,MTR,N/A,N/A,N/A,N/A,Air,N/A,,,,
HKMTR2006PK,CSD16-HON-HKMTR2006PK,N/A,N/A,N/A,N/A,China,N/A,HKG,Hong Kong,Indoor Line,Tseung Kwan O,MTR,N/A,N/A,N/A,N/A,Air,N/A,,,,
HKMTR2006NPK,CSD16-HON-HKMTR2006NPK,N/A,N/A,N/A,N/A,China,N/A,HKG,Hong Kong,Indoor Line,Tseung Kwan O,MTR,N/A,N/A,N/A,N/A,Air,N/A,,,,
HKMTR2007PK,CSD16-HON-HKMTR2007PK,N/A,N/A,N/A,N/A,China,N/A,HKG,Hong Kong,Outdoor Line,Ma On Shan,MTR,N/A,N/A,N/A,N/A,Air,N/A,,,,
HKMTR2007NPK,CSD16-HON-HKMTR2007NPK,N/A,N/A,N/A,N/A,China,N/A,HKG,Hong Kong,Outdoor Line,Ma On Shan,MTR,N/A,N/A,N/A,N/A,Air,N/A,,,,
HKMTR3001ID,CSD16-HON-HKMTR3001ID,N/A,N/A,N/A,N/A,China,N/A,HKG,Hong Kong,Indoor Line,Tsuen Wan,MTR,N/A,N/A,N/A,N/A,Air,N/A,,,,
HKMTR3001OD,CSD16-HON-HKMTR3001OD,N/A,N/A,N/A,N/A,China,N/A,HKG,Hong Kong,Outdoor Line,East Rail,MTR,N/A,N/A,N/A,N/A,Air,N/A,,,,
HKMTR3002ID,CSD16-HON-HKMTR3002ID,N/A,N/A,N/A,N/A,China,N/A,HKG,Hong Kong,Indoor Line,Tsuen Wan,MTR,N/A,N/A,N/A,N/A,Air,N/A,,,,
HKMTR3002OD,CSD16-HON-HKMTR3002OD,N/A,N/A,N/A,N/A,China,N/A,HKG,Hong Kong,Outdoor Line,East Rail,MTR,N/A,N/A,N/A,N/A,Air,N/A,,,,
HKMTR3003ID,CSD16-HON-HKMTR3003ID,N/A,N/A,N/A,N/A,China,N/A,HKG,Hong Kong,Indoor Line,Tsuen Wan,MTR,N/A,N/A,N/A,N/A,Air,N/A,,,,
HKMTR3003OD,CSD16-HON-HKMTR3003OD,N/A,N/A,N/A,N/A,China,N/A,HKG,Hong Kong,Outdoor Line,East Rail,MTR,N/A,N/A,N/A,N/A,Air,N/A,,,,
HKMTR3004ID,CSD16-HON-HKMTR3004ID,N/A,N/A,N/A,N/A,China,N/A,HKG,Hong Kong,Indoor Line,Tsuen Wan,MTR,N/A,N/A,N/A,N/A,Air,N/A,,,,
HKMTR3004OD,CSD16-HON-HKMTR3004OD,N/A,N/A,N/A,N/A,China,N/A,HKG,Hong Kong,Outdoor Line,East Rail,MTR,N/A,N/A,N/A,N/A,Air,N/A,,,,
HKMTR4001,CSD16-HON-HKMTR4001,N/A,N/A,N/A,N/A,China,N/A,HKG,Hong Kong,Outdoor,Island,OUTDOOR,N/A,N/A,N/A,N/A,Air,N/A,,,,
HKMTR4002,CSD16-HON-HKMTR4002,N/A,N/A,N/A,N/A,China,N/A,HKG,Hong Kong,Outdoor,Tsuen Wan,OUTDOOR,N/A,N/A,N/A,N/A,Air,N/A,,,,
HKMTR4003,CSD16-HON-HKMTR4003,N/A,N/A,N/A,N/A,China,N/A,HKG,Hong Kong,Outdoor,Kwun Tong,OUTDOOR,N/A,N/A,N/A,N/A,Air,N/A,,,,
HKMTR4004,CSD16-HON-HKMTR4004,N/A,N/A,N/A,N/A,China,N/A,HKG,Hong Kong,Outdoor,East Rail,OUTDOOR,N/A,N/A,N/A,N/A,Air,N/A,,,,
HKMTR4005,CSD16-HON-HKMTR4005,N/A,N/A,N/A,N/A,China,N/A,HKG,Hong Kong,Outdoor,West Rail,OUTDOOR,N/A,N/A,N/A,N/A,Air,N/A,,,,
HKMTR4006,CSD16-HON-HKMTR4006,N/A,N/A,N/A,N/A,China,N/A,HKG,Hong Kong,Outdoor,Tseung Kwan O,OUTDOOR,N/A,N/A,N/A,N/A,Air,N/A,,,,
HKMTR4007,CSD16-HON-HKMTR4007,N/A,N/A,N/A,N/A,China,N/A,HKG,Hong Kong,Outdoor,Ma On Shan,OUTDOOR,N/A,N/A,N/A,N/A,Air,N/A,,,,
1,CSD16-STO-1,N/A,N/A,3/15/16,N/A,Sweden,N/A,STO,Stockholm,N/A,t. centralen,N/A,N/A,N/A,N/A,middle handrail,N/A,N/A,,,,
2,CSD16-STO-2,N/A,N/A,3/15/16,N/A,Sweden,N/A,STO,Stockholm,N/A,t. centralen,N/A,N/A,N/A,N/A,elevator blue cross-left,N/A,N/A,,,,
3,CSD16-STO-3,N/A,N/A,3/15/16,N/A,Sweden,N/A,STO,Stockholm,N/A,t. centralen,N/A,N/A,N/A,N/A,turnstile,N/A,N/A,,,,
4,CSD16-STO-4,N/A,N/A,3/15/16,N/A,Sweden,N/A,STO,Stockholm,N/A,t. centralen,N/A,N/A,N/A,N/A,seat stock-c end,N/A,N/A,,,,
5,CSD16-STO-5,N/A,N/A,3/15/16,N/A,Sweden,N/A,STO,Stockholm,N/A,Train to fruagen,N/A,N/A,N/A,N/A,seat middle of carriage,N/A,N/A,,,,
6,CSD16-STO-6,N/A,N/A,3/15/16,N/A,Sweden,N/A,STO,Stockholm,N/A,Fruägen,N/A,N/A,N/A,N/A,Black bench outdoor station ,N/A,N/A,,,,
7,CSD16-STO-7,N/A,N/A,3/15/16,N/A,Sweden,N/A,STO,Stockholm,N/A,Fruägen,N/A,N/A,N/A,N/A,staircase handrail top,N/A,N/A,,,,
8,CSD16-STO-8,N/A,N/A,3/15/16,N/A,Sweden,N/A,STO,Stockholm,N/A,Fruägen,N/A,N/A,N/A,N/A,ticket machine screen,  ,N/A,,,,
9,CSD16-STO-9,N/A,N/A,3/15/16,N/A,Sweden,N/A,STO,Stockholm,N/A,slussen,N/A,N/A,N/A,N/A,right side of bench on morby centrum side,next to trash,N/A,,,,
10,CSD16-STO-10,N/A,N/A,3/15/16,N/A,Sweden,N/A,STO,Stockholm,N/A,slussen,N/A,N/A,N/A,N/A,handrail,metal,N/A,,,,
11,CSD16-STO-11,N/A,N/A,3/15/16,N/A,Sweden,N/A,STO,Stockholm,N/A,slussen,N/A,N/A,N/A,N/A,turnstile neer stad museet side,4th from ticketor,N/A,,,,
12,CSD16-STO-12,N/A,N/A,3/15/16,N/A,Sweden,N/A,STO,Stockholm,N/A,Train to Morby Centrum,N/A,N/A,N/A,N/A,handrail in middle carriage,N/A,N/A,,,,
13,CSD16-STO-13,N/A,N/A,3/15/16,N/A,Sweden,N/A,STO,Stockholm,N/A,Train to danderyd,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,
14,CSD16-STO-14,N/A,N/A,3/15/16,N/A,Sweden,N/A,STO,Stockholm,N/A,danderyd,N/A,N/A,N/A,N/A,bench,wood,N/A,,,,
15,CSD16-STO-15,N/A,N/A,3/15/16,N/A,Sweden,N/A,STO,Stockholm,N/A,danderyd,N/A,N/A,N/A,N/A,handrail,N/A,N/A,,,,
16,CSD16-STO-16,N/A,N/A,3/15/16,N/A,Sweden,N/A,STO,Stockholm,N/A,danderyd,N/A,N/A,N/A,N/A,turnstile,N/A,N/A,,,,
17,CSD16-STO-17,N/A,N/A,3/15/16,N/A,Sweden,N/A,STO,Stockholm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,
18,CSD16-STO-18,N/A,N/A,3/16/16,N/A,Sweden,N/A,STO,Stockholm,N/A,Brommaplan,N/A,N/A,"59.338165, 17.941110",N/A,trash bin,metal,N/A,,,,
19,CSD16-STO-19,N/A,N/A,3/16/16,N/A,Sweden,N/A,STO,Stockholm,N/A,Brommaplan,N/A,N/A,"59.338179, 17.940820",N/A,bench,wood,N/A,,,,
20,CSD16-STO-20,N/A,N/A,3/16/16,N/A,Sweden,N/A,STO,Stockholm,N/A,Brommaplan,N/A,N/A,"59.338234, 17.940015",N/A,escalator handle,rubber,N/A,,,,
21,CSD16-STO-21,N/A,N/A,3/16/16,N/A,Sweden,N/A,STO,Stockholm,N/A,Brommaplan,N/A,N/A,"59.338304, 17.939667",N/A,rail network map,plastic,N/A,,,,
22,CSD16-STO-22,N/A,N/A,3/15/16,N/A,Sweden,N/A,STO,Stockholm,N/A,Västra Skogen,N/A,N/A,N/A,N/A,turnstile,N/A,N/A,,,,
23,n/a,N/A,N/A,3/15/16,N/A,Sweden,N/A,STO,Stockholm,N/A,Västra Skogen,N/A,N/A,N/A,N/A,rubber handrail,N/A,N/A,,,,
24,CSD16-STO-24,N/A,N/A,3/15/16,N/A,Sweden,N/A,STO,Stockholm,N/A,Västra Skogen,N/A,N/A,N/A,N/A,steal handrail,N/A,N/A,,,,
25,CSD16-STO-25,N/A,N/A,3/17/16,N/A,Sweden,N/A,STO,Stockholm,N/A,Aspudden to Norsborg,N/A,N/A,N/A,N/A,handrail ,metal,N/A,,,,
26,CSD16-STO-26,N/A,N/A,3/17/16,N/A,Sweden,N/A,STO,Stockholm,N/A,Fittja,N/A,N/A,N/A,N/A,bench-wood,wood,N/A,,,,
27,CSD16-STO-27,N/A,N/A,3/17/16,N/A,Sweden,N/A,STO,Stockholm,N/A,Fittja,N/A,N/A,N/A,N/A,"handrail, ecalator",rubber,N/A,,,,
28,CSD16-STO-28,N/A,N/A,3/17/16,N/A,Sweden,N/A,STO,Stockholm,N/A,Fittja,N/A,N/A,N/A,N/A,"turnstile, ticket place",plastic,N/A,,,,
29,CSD16-STO-29,N/A,N/A,3/17/16,N/A,Sweden,N/A,STO,Stockholm,N/A,Fittja,N/A,N/A,N/A,N/A,"screen, ticket machine",glass,N/A,,,,
30,CSD16-STO-30,N/A,N/A,3/15/16,N/A,Sweden,N/A,STO,Stockholm,N/A,train to hagsätra,N/A,N/A,N/A,N/A,handrail,N/A,N/A,,,,
31,CSD16-STO-31,N/A,N/A,3/15/16,N/A,Sweden,N/A,STO,Stockholm,N/A,Globen,N/A,N/A,N/A,N/A,ticket machine screen,N/A,N/A,,,,
32,CSD16-STO-32,N/A,N/A,3/15/16,N/A,Sweden,N/A,STO,Stockholm,N/A,Globen,N/A,N/A,N/A,N/A,bench,wood,N/A,,,,
33,CSD16-STO-33,N/A,N/A,3/15/16,N/A,Sweden,N/A,STO,Stockholm,N/A,Globen,N/A,N/A,N/A,N/A,handrail,rubber,N/A,,,,
34,CSD16-STO-34,N/A,N/A,3/15/16,N/A,Sweden,N/A,STO,Stockholm,N/A,Globen,N/A,N/A,N/A,N/A,handrail ,metal,N/A,,,,
sp,CSD16-STO-sp,N/A,N/A,3/15/16,N/A,Sweden,N/A,STO,Stockholm,N/A,lila friberg,N/A,N/A,N/A,N/A,microphone,N/A,N/A,,,,
35,CSD16-STO-35,N/A,N/A,3/16/16,N/A,Sweden,N/A,STO,Stockholm,N/A,?,N/A,N/A,N/A,N/A,bench,N/A,N/A,,,,
36,CSD16-STO-36,N/A,N/A,3/16/16,N/A,Sweden,N/A,STO,Stockholm,N/A,LHS ?,N/A,N/A,N/A,N/A,escalator handrail,rubber,N/A,,,,
37,CSD16-STO-37,N/A,N/A,3/16/16,N/A,Sweden,N/A,STO,Stockholm,N/A,?,N/A,N/A,N/A,N/A,metal handrail,N/A,N/A,,,,
38,CSD16-STO-38,N/A,N/A,3/16/16,N/A,Sweden,N/A,STO,Stockholm,N/A,?,N/A,N/A,N/A,N/A,turnstile,N/A,N/A,,,,
39,CSD16-STO-39,N/A,N/A,3/16/16,N/A,Sweden,N/A,STO,Stockholm,N/A,?,N/A,N/A,N/A,N/A,seat red line ,Fabric,N/A,,,,
40,CSD16-STO-40,N/A,N/A,3/17/16,N/A,Sweden,N/A,STO,Stockholm,N/A,N/A,N/A,N/A,N/A,N/A,garbage can,N/A,N/A,,,,
41,CSD16-STO-41,N/A,N/A,3/17/16,N/A,Sweden,N/A,STO,Stockholm,N/A,t. centralen,N/A,N/A,N/A,N/A,map,N/A,N/A,,,,
42,CSD16-STO-42,N/A,N/A,3/17/16,N/A,Sweden,N/A,STO,Stockholm,N/A,t. centralen,N/A,N/A,N/A,N/A,rail,N/A,N/A,,,,
43,CSD16-STO-43,N/A,N/A,3/17/16,N/A,Sweden,N/A,STO,Stockholm,N/A,t. centralen,N/A,N/A,N/A,N/A,turnstile,metal/vasag,N/A,,,,
44,CSD16-STO-44,N/A,N/A,3/17/16,N/A,Sweden,N/A,STO,Stockholm,N/A,t. centralen,N/A,N/A,N/A,N/A,escalator handle,rubber,N/A,,,,
45,CSD16-STO-45,N/A,N/A,3/17/16,N/A,Sweden,N/A,STO,Stockholm,N/A,t. centralen,N/A,N/A,N/A,N/A,map,N/A,N/A,,,,
46,CSD16-STO-46,N/A,N/A,3/17/16,N/A,Sweden,N/A,STO,Stockholm,N/A,Fittja,N/A,N/A,N/A,N/A,handrail,metal ,N/A,,,,
47,CSD16-STO-47,N/A,N/A,3/17/16,N/A,Sweden,N/A,STO,Stockholm,N/A,train to Ropsten,N/A,N/A,N/A,N/A,seat,fabric,N/A,,,,
48,CSD16-STO-48,N/A,N/A,3/17/16,N/A,Sweden,N/A,STO,Stockholm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,
49,CSD16-STO-49,N/A,N/A,3/17/16,N/A,Sweden,N/A,STO,Stockholm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,
50,CSD16-STO-50,N/A,N/A,3/17/16,N/A,Sweden,N/A,STO,Stockholm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,
pr,CSD16-STO-pr,N/A,N/A,N/A,N/A,Sweden,N/A,STO,Stockholm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,
P34,CSD16-STO-P34,N/A,N/A,3/16/16,N/A,Sweden,N/A,STO,Stockholm,N/A,N/A,N/A,N/A,N/A,N/A,window sill,metal,N/A,,,,
MS001,CSD16-SHA-MS001,N/A,N/A,6/16/15,Ding Bao,China,N/A,SHA,Shanghai,N/A,Xinjiangwancheng Station,Line 10,N/A,N/A,N/A,Ticket machine,Glass,N/A,,,,
MS002,CSD16-SHA-MS002,N/A,N/A,6/16/15,Wanwan Hou,China,N/A,SHA,Shanghai,N/A,Xinjiangwancheng Station,Line 10,N/A,N/A,N/A,Ticket entrance,Metal,N/A,,,,
MS003,CSD16-SHA-MS003,N/A,N/A,6/16/15,Ding Bao,China,N/A,SHA,Shanghai,N/A,Cabinet,Line 10,N/A,N/A,N/A,handle,Plastic,N/A,,,,
MS004,CSD16-SHA-MS004,N/A,N/A,6/16/15,Wanwan Hou,China,N/A,SHA,Shanghai,N/A,Cabinet,Line 10,N/A,N/A,N/A,Handle,Metal,N/A,,,,
MS005,CSD16-SHA-MS005,N/A,N/A,6/16/15,Wanwan Hou,China,N/A,SHA,Shanghai,N/A,East Nanjing Road Station,Line 10/2,N/A,N/A,N/A,Handle,Elevator,N/A,,,,
MS006,CSD16-SHA-MS006,N/A,N/A,6/16/15,Ding Bao,China,N/A,SHA,Shanghai,N/A,East Nanjing Road Station,Line 10/2,N/A,N/A,N/A,Ticket machine,Glass,N/A,,,,
MS007,CSD16-SHA-MS007,N/A,N/A,6/16/15,Wanwan Hou,China,N/A,SHA,Shanghai,N/A,East Nanjing Road Station,Line 10/2,N/A,N/A,N/A,Ticket entrance,Metal,N/A,,,,
MS008,CSD16-SHA-MS008,N/A,N/A,6/16/15,Wanwan Hou,China,N/A,SHA,Shanghai,N/A,Cabinet,Line 2,N/A,N/A,N/A,Seat (in front of the car),Plastic     ,N/A,,,,
MS009,CSD16-SHA-MS009,N/A,N/A,6/16/15,Ding Bao,China,N/A,SHA,Shanghai,N/A,Longyang Road Station ,Line 2,N/A,N/A,N/A,Ticket vending machine,Glass,N/A,,,,
MS010,CSD16-SHA-MS010,N/A,N/A,6/16/15,Wanwan Hou,China,N/A,SHA,Shanghai,N/A,Longyang Road Station ,Line 2,N/A,N/A,N/A,Entance,Plastic,N/A,,,,
Gangnam 1-1,CSD16-SEO-Gangnam 1-1,N/A,N/A,2/4/16,N/A,South Korea,N/A,SEO,Seoul,N/A,Gangnam/2,N/A,N/A,N/A,N/A,Buttons of a vending machine,N/A,0,,,,
Gangnam 1-2,CSD16-SEO-Gangnam 1-2,N/A,N/A,2/4/16,N/A,South Korea,N/A,SEO,Seoul,N/A,Gangnam/2,N/A,N/A,N/A,N/A,Benches,N/A,0,,,,
Gangnam 1-3,CSD16-SEO-Gangnam 1-3,N/A,N/A,2/4/16,N/A,South Korea,N/A,SEO,Seoul,N/A,Gangnam/2,N/A,N/A,N/A,N/A,Handrails of escalators,N/A,0,,,,
Gangnam 2-1,CSD16-SEO-Gangnam 2-1,N/A,N/A,2/4/16,N/A,South Korea,N/A,SEO,Seoul,N/A,Gangnam/Sinbundang,N/A,N/A,N/A,N/A,Buttons of a vending machine,N/A,0,,,,
